24.328136 35.553045 34.199428 40.853072 | 10000000000.000000 | -2.37e+01 -3.52e+01 9.78e+05 -1.99e+02
18.717868 50.184435 72.434404 77.553663 | 1123154.602644 | -1.73e+01 -4.95e+01 -1.57e+06 -1.62e+02
12.999338 65.098168 111.407202 114.962467 | 1975288.267125 | -1.08e+01 -6.40e+01 -8.98e+06 -1.25e+02
37.059444 43.875569 114.621452 132.705742 | 5076109.587572 | -3.48e+01 -4.28e+01 -1.05e+07 -1.07e+02
30.771918 49.916416 85.186845 88.301441 | 2653263.938525 | -2.91e+01 -4.91e+01 -3.31e+06 -1.52e+02
11.204919 30.041484 47.374580 50.439078 | 10000000000.000000 | -1.03e+01 -2.96e+01 4.95e+05 -1.90e+02
55.114703 27.432740 44.129043 46.927427 | 10000000000.000000 | -5.43e+01 -2.70e+01 6.49e+05 -1.93e+02
50.137405 51.971884 114.818836 60.857193 | 7647050.238710 | -4.79e+01 -5.09e+01 -7.57e+06 -1.79e+02
0.000000 14.827687 52.760038 86.646682 | 10000000000.000000 | 1.02e+00 -1.43e+01 -7.69e+04 -1.53e+02
42.362089 35.404411 54.046591 113.615837 | 2915586.247005 | -4.13e+01 -3.49e+01 -4.08e+05 -1.26e+02
20.066668 49.341299 74.577602 79.610854 | 1259407.559000 | -1.86e+01 -4.86e+01 -1.83e+06 -1.60e+02
18.125957 51.282010 78.302200 83.335451 | 1229785.658688 | -1.66e+01 -5.05e+01 -2.32e+06 -1.57e+02
6.420335 62.987632 100.767535 105.800786 | 1276061.760606 | -4.48e+00 -6.20e+01 -6.37e+06 -1.34e+02
6.704056 62.703911 100.223020 105.256271 | 1268280.352992 | -4.77e+00 -6.17e+01 -6.24e+06 -1.35e+02
16.466279 52.941688 75.116959 80.150211 | 1065756.860002 | -1.50e+01 -5.22e+01 -1.90e+06 -1.60e+02
15.028890 54.379077 72.358334 77.391586 | 938228.935056 | -1.36e+01 -5.37e+01 -1.56e+06 -1.63e+02
13.233067 56.174900 68.911805 73.945057 | 796720.026920 | -1.19e+01 -5.55e+01 -1.18e+06 -1.66e+02
0.000000 74.843531 33.083119 38.116371 | 10000000000.000000 | 6.39e-01 -7.45e+01 1.01e+06 -2.02e+02
9.503725 59.904242 61.754483 66.787735 | 560367.466732 | -8.31e+00 -5.93e+01 -4.91e+05 -1.73e+02
0.000000 83.557101 16.360107 21.393359 | 10000000000.000000 | 3.16e-01 -8.34e+01 1.26e+06 -2.19e+02
0.000000 76.111059 30.650490 35.683741 | 10000000000.000000 | 5.92e-01 -7.58e+01 1.07e+06 -2.04e+02
11.948491 57.459476 58.997262 64.030514 | 579760.980179 | -1.08e+01 -5.69e+01 -2.64e+05 -1.76e+02
6.847289 62.560678 49.207077 54.240328 | 10000000000.000000 | -5.90e+00 -6.21e+01 3.84e+05 -1.86e+02
11.828138 57.579829 58.766282 63.799534 | 572556.066453 | -1.07e+01 -5.70e+01 -2.46e+05 -1.76e+02
0.000000 77.665934 20.217191 25.250442 | 10000000000.000000 | 3.90e-01 -7.75e+01 1.23e+06 -2.15e+02
23.059122 68.810813 37.211869 42.245120 | 10000000000.000000 | -2.23e+01 -6.85e+01 8.96e+05 -1.98e+02
4.851982 64.555985 52.826895 57.860147 | 10000000000.000000 | -3.83e+00 -6.41e+01 1.71e+05 -1.82e+02
1.140512 68.267455 77.805095 50.737124 | 10000000000.000000 | 3.61e-01 -6.75e+01 -1.64e+06 -1.89e+02
4.006824 65.401143 51.204874 77.337344 | 10000000000.000000 | -3.02e+00 -6.49e+01 9.66e+04 -1.63e+02
6.143536 63.264431 55.305635 60.338887 | 10000000000.000000 | -5.08e+00 -6.27e+01 7.60e+03 -1.80e+02
6.585957 62.822010 56.154726 61.187977 | 423053.276498 | -5.50e+00 -6.23e+01 -5.19e+04 -1.79e+02
3.010295 66.397672 49.292343 54.325595 | 10000000000.000000 | -2.06e+00 -6.59e+01 3.80e+05 -1.86e+02
3.506072 65.901895 50.243835 55.277087 | 10000000000.000000 | -2.54e+00 -6.54e+01 3.26e+05 -1.85e+02
5.706416 63.701551 57.842734 59.499969 | 434696.540804 | -4.59e+00 -6.31e+01 -1.40e+05 -1.81e+02
3.463231 65.944736 62.147836 67.181088 | 479224.896960 | -2.26e+00 -6.54e+01 -5.25e+05 -1.73e+02
